player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Antoñito,ESP,FW,Sevilla,La Liga,25,28,1566,5,3,2003-2004,False,0.4598
Dudu Aouate,ISR,GK,Racing Sant,La Liga,25,4,360,0,0,2003-2004,False,0.0
Stephen Appiah,GHA,MF,Juventus,Serie A,22,30,2251,1,1,2003-2004,False,0.08
Sergio Aragoneses,ESP,GK,Atlético Madrid,La Liga,26,14,1260,0,0,2003-2004,False,0.0
Mikel Aranburu,ESP,MF,Real Sociedad,La Liga,24,32,1897,0,1,2003-2004,False,0.0474
Carlos Aranda,ESP,FW,Albacete,La Liga,23,25,1615,8,4,2003-2004,False,0.6687
Agustín Aranzábal,ESP,DF,Real Sociedad,La Liga,30,24,2076,0,1,2003-2004,False,0.0434
Daniel Aranzubia,ESP,GK,Athletic Club,La Liga,23,34,3060,0,0,2003-2004,False,0.0
Andrea Ardito,ITA,MF,Siena,Serie A,26,10,867,1,0,2003-2004,False,0.1038
Stefano Argilli,ITA,MF,Siena,Serie A,30,13,821,1,0,2003-2004,False,0.1096
Pierre Aristouy,FRA,FW,Nantes,Ligue 1,23,4,111,0,1,2003-2004,False,0.8108
Javier Arizmendi,ESP,"FW,MF",Atlético Madrid,La Liga,19,4,146,0,0,2003-2004,False,0.0
Sylvain Armand,FRA,DF,Nantes,Ligue 1,22,35,3033,3,1,2003-2004,False,0.1187
Francesc Arnau,ESP,GK,Málaga,La Liga,28,21,1825,0,0,2003-2004,False,0.0
John Arne Riise,NOR,"DF,MF",Liverpool,Premier League,22,28,2133,0,4,2003-2004,False,0.1688
Salim Arrache,ALG,MF,Strasbourg,Ligue 1,21,12,269,0,0,2003-2004,False,0.0
Joseba Arriaga,ESP,FW,Athletic Club,La Liga,21,14,458,2,0,2003-2004,False,0.393
Dominique Arribagé,FRA,DF,Rennes,Ligue 1,32,28,2468,2,0,2003-2004,False,0.0729
Rodolfo Arruabarrena,ARG,DF,Villarreal,La Liga,28,33,2930,2,2,2003-2004,False,0.1229
Magnus Arvidsson,SWE,FW,Hansa Rostock,Bundesliga,30,24,1167,6,3,2003-2004,False,0.6941
César Arzo,ESP,"DF,MF",Villarreal,La Liga,17,10,130,0,0,2003-2004,False,0.0
Arzu,ESP,"DF,MF",Real Betis,La Liga,22,30,1952,0,4,2003-2004,False,0.1844
Gerald Asamoah,GER,"FW,MF",Schalke 04,Bundesliga,24,24,1687,4,2,2003-2004,False,0.3201
Slađan Ašanin,CRO,DF,Gladbach,Bundesliga,31,27,2329,1,0,2003-2004,False,0.0386
Jonathan Aspas,ESP,MF,Celta Vigo,La Liga,21,3,76,0,0,2003-2004,False,0.0
Benoît Assou-Ekotto,CMR,DF,Lens,Ligue 1,19,3,270,0,1,2003-2004,False,0.3333
Mansour Assoumani,MLI,DF,Montpellier,Ligue 1,20,27,2150,1,0,2003-2004,False,0.0419
Marcos Assunção,BRA,MF,Real Betis,La Liga,27,19,1533,7,2,2003-2004,False,0.5284
Jean-Hugues Ateba,CMR,"DF,MF",Nantes,Ligue 1,22,9,494,0,0,2003-2004,False,0.0
Fatih Atik,TUR,MF,Montpellier,Ligue 1,19,6,173,0,1,2003-2004,False,0.5202
Lucien Aubey,CGO,DF,Toulouse,Ligue 1,19,35,2978,0,0,2003-2004,False,0.0
Fábio Aurélio,BRA,"DF,MF",Valencia,La Liga,23,2,38,0,0,2003-2004,False,0.0
Christophe Avezac,FRA,MF,Toulouse,Ligue 1,26,32,2162,3,3,2003-2004,False,0.2498
Roberto Ayala,ARG,DF,Valencia,La Liga,30,30,2688,1,1,2003-2004,False,0.067
Federico Azcárate,ARG,DF,Real Murcia,La Liga,19,8,612,0,0,2003-2004,False,0.0
Ignacio Azpilikueta Rodríguez,NAN,,Real Sociedad,La Liga,21,1,90,0,0,2003-2004,True,0.0
Georges Ba,CIV,FW,Nice,Ligue 1,24,21,688,3,1,2003-2004,False,0.5233
Ibrahim Ba,FRA,MF,Bolton Wanderers,Premier League,29,9,245,0,0,2003-2004,False,0.0
Khalifa Ba,FRA,DF,Marseille,Ligue 1,17,1,53,0,0,2003-2004,False,0.0
Celestine Babayaro,NGA,"DF,MF",Chelsea,Premier League,24,6,440,1,2,2003-2004,False,0.6136
Markus Babbel,GER,DF,Blackburn Rovers,Premier League,30,25,2036,3,3,2003-2004,False,0.2652
Marko Babić,CRO,"DF,MF",Leverkusen,Bundesliga,22,32,2589,6,8,2003-2004,False,0.4867
Dario Baccin,ITA,DF,Ancona,Serie A,26,5,325,0,0,2003-2004,False,0.0
Jonathan Bachini,ITA,MF,Brescia,Serie A,28,25,1492,2,0,2003-2004,False,0.1206
Marius Baciu,ROU,DF,Lille,Ligue 1,28,15,1178,1,0,2003-2004,False,0.0764
Alexander Bade,GER,GK,Köln,Bundesliga,32,3,222,0,0,2003-2004,True,0.0
Mamadou Bagayoko,MLI,FW,Ajaccio,Ligue 1,24,34,3045,8,2,2003-2004,False,0.2956
Dino Baggio,ITA,MF,Ancona,Serie A,32,13,1015,0,0,2003-2004,False,0.0
Dino Baggio,ITA,MF,Blackburn Rovers,Premier League,32,9,161,1,0,2003-2004,False,0.559
Roberto Baggio,ITA,"FW,MF",Brescia,Serie A,36,26,2141,12,11,2003-2004,False,0.9668
Lionel Bah,CIV,MF,Guingamp,Ligue 1,23,5,195,0,0,2003-2004,False,0.0
Schumann Bah,GUI,DF,Metz,Ligue 1,28,5,423,0,0,2003-2004,False,0.0
Fernando Baiano,BRA,FW,Wolfsburg,Bundesliga,24,17,1039,11,2,2003-2004,False,1.1261
Daniel Baier,GER,MF,1860 Munich,Bundesliga,19,11,487,0,0,2003-2004,False,0.0
Davide Baiocco,ITA,MF,Reggina,Serie A,28,28,2024,0,0,2003-2004,False,0.0
Chris Baird,NIR,"DF,MF",Southampton,Premier League,21,4,192,0,0,2003-2004,False,0.0
Zlatan Bajramović,BIH,MF,Freiburg,Bundesliga,23,26,1892,6,3,2003-2004,False,0.4281
Jacek Bąk,POL,DF,Lens,Ligue 1,30,26,2109,0,0,2003-2004,False,0.0
Dagui Bakari,CIV,FW,Lens,Ligue 1,28,27,1390,4,1,2003-2004,False,0.3237
Oumar Bakari,FRA,"DF,MF",Nice,Ligue 1,23,4,70,0,0,2003-2004,False,0.0
Ibrahima Bakayoko,CIV,FW,Osasuna,La Liga,26,26,1679,4,3,2003-2004,False,0.3752
Ibrahima Bakayoko,CIV,FW,Marseille,Ligue 1,26,3,60,1,0,2003-2004,False,1.5
Eirik Bakke,NOR,MF,Leeds United,Premier League,25,10,721,1,0,2003-2004,False,0.1248
Iacopo Balestri,ITA,DF,Modena,Serie A,28,33,2894,0,0,2003-2004,False,0.0
Hanno Balitsch,GER,MF,Leverkusen,Bundesliga,22,26,1564,0,0,2003-2004,False,0.0
Michael Ballack,GER,MF,Bayern Munich,Bundesliga,26,28,2470,7,12,2003-2004,False,0.6923
Salva Ballesta,ESP,FW,Málaga,La Liga,28,34,2956,19,4,2003-2004,False,0.7003
Sergio Ballesteros,ESP,DF,Villarreal,La Liga,27,30,2678,1,1,2003-2004,False,0.0672
Daniele Balli,ITA,GK,Empoli,Serie A,35,14,1255,0,0,2003-2004,False,0.0
Marco Ballotta,ITA,GK,Modena,Serie A,39,18,1544,0,0,2003-2004,True,0.0
Florent Balmont,FRA,MF,Toulouse,Ligue 1,23,34,2781,0,2,2003-2004,False,0.0647
Habib Bamogo,BFA,FW,Montpellier,Ligue 1,21,38,3224,16,3,2003-2004,False,0.5304
Ivica Banović,CRO,MF,Werder Bremen,Bundesliga,22,3,42,0,0,2003-2004,False,0.0
Júlio Baptista,BRA,"FW,MF",Sevilla,La Liga,21,30,2536,20,3,2003-2004,False,0.8162
Sekou Baradji,FRA,"DF,MF",Le Mans,Ligue 1,19,2,180,0,0,2003-2004,False,0.0
Rubén Baraja,ESP,MF,Valencia,La Liga,28,35,2619,8,2,2003-2004,False,0.3436
Sergej Barbarez,BIH,"FW,MF",Hamburger SV,Bundesliga,31,32,2795,10,6,2003-2004,False,0.5152
Cédric Barbosa,FRA,MF,Rennes,Ligue 1,27,32,2575,2,3,2003-2004,False,0.1748
Cédric Bardon,FRA,"FW,MF",Guingamp,Ligue 1,26,6,183,0,0,2003-2004,False,0.0
Sergi Barjuán,ESP,DF,Atlético Madrid,La Liga,31,32,2734,0,0,2003-2004,False,0.0
José Barkero,ESP,MF,Real Sociedad,La Liga,24,3,61,0,0,2003-2004,False,0.0
Nick Barmby,ENG,"FW,MF",Leeds United,Premier League,29,6,148,0,0,2003-2004,False,0.0
Anthony Barness,ENG,DF,Bolton Wanderers,Premier League,30,15,984,0,0,2003-2004,False,0.0
Simone Barone,ITA,MF,Parma,Serie A,25,33,2926,3,1,2003-2004,False,0.123
Roberto Baronio,ITA,MF,Chievo,Serie A,25,21,1553,0,0,2003-2004,False,0.0
Milan Baroš,CZE,FW,Liverpool,Premier League,21,13,610,1,3,2003-2004,False,0.5902
Andrew Barrowman,SCO,FW,Birmingham City,Premier League,18,1,3,0,0,2003-2004,False,0.0
Gareth Barry,ENG,MF,Aston Villa,Premier League,22,36,3009,3,8,2003-2004,False,0.329
Rahmane Barry,SEN,"FW,MF",Marseille,Ligue 1,16,3,39,0,0,2003-2004,False,0.0
Fabien Barthez,FRA,GK,Marseille,Ligue 1,32,20,1800,0,0,2003-2004,False,0.0
Shaun Bartlett,RSA,FW,Charlton Athletic,Premier League,30,19,1089,5,0,2003-2004,False,0.4132
Joey Barton,ENG,MF,Manchester City,Premier League,20,28,2186,1,2,2003-2004,False,0.1235
Patrick Barul,FRA,DF,Lens,Ligue 1,25,19,1524,0,1,2003-2004,False,0.0591
