player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Willy Boly,CIV,DF,Auxerre,Ligue 1,20,33,2850,1,0,2011-2012,False,0.0316
Francesco Bolzoni,ITA,MF,Siena,Serie A,22,16,859,1,0,2011-2012,False,0.1048
Mark van Bommel,NED,MF,Milan,Serie A,34,25,2000,0,0,2011-2012,False,0.0
Giacomo Bonaventura,ITA,"FW,MF",Atalanta,Serie A,21,29,1750,2,1,2011-2012,True,0.1543
Daniele Bonera,ITA,DF,Milan,Serie A,30,20,1470,0,0,2011-2012,False,0.0
Gaëtan Bong,CMR,DF,Valenciennes,Ligue 1,23,28,2399,0,1,2011-2012,True,0.0375
Laurent Bonnart,FRA,DF,Lille,Ligue 1,31,11,754,0,0,2011-2012,False,0.0
Leonardo Bonucci,ITA,DF,Juventus,Serie A,24,32,2641,2,0,2011-2012,False,0.0682
Gerard Bordas,ESP,"FW,MF",Villarreal,La Liga,29,2,46,0,0,2011-2012,False,0.0
Fabio Borini,ITA,"FW,MF",Roma,Serie A,20,24,1679,9,0,2011-2012,False,0.4824
Tim Borowski,GER,MF,Werder Bremen,Bundesliga,31,1,45,0,0,2011-2012,False,0.0
Marco Borriello,ITA,FW,Roma,Serie A,29,7,210,0,1,2011-2012,True,0.4286
Marco Borriello,ITA,FW,Juventus,Serie A,29,13,589,2,1,2011-2012,True,0.4584
Artur Boruc,POL,GK,Fiorentina,Serie A,31,36,3240,0,0,2011-2012,False,0.0
Ariel Borysiuk,POL,MF,Kaiserslautern,Bundesliga,20,12,970,0,0,2011-2012,False,0.0
Alexy Bosetti,FRA,"FW,MF",Nice,Ligue 1,18,1,5,0,0,2011-2012,False,0.0
José Bosingwa,POR,DF,Chelsea,Premier League,28,27,2114,1,2,2011-2012,True,0.1277
Pedro Botelho,BRA,"DF,MF",Levante,La Liga,21,14,906,0,1,2011-2012,True,0.0993
Pedro Botelho,BRA,"DF,MF",Rayo Vallecano,La Liga,21,11,710,1,1,2011-2012,True,0.2535
Jay Bothroyd,ENG,FW,QPR,Premier League,29,21,1104,2,1,2011-2012,True,0.2446
Alberto Botía,ESP,DF,Sporting Gijón,La Liga,22,34,2959,1,0,2011-2012,False,0.0304
Ryad Boudebouz,ALG,"FW,MF",Sochaux,Ligue 1,21,36,3039,6,6,2011-2012,True,0.3554
Samuel Bouhours,FRA,DF,Ajaccio,Ligue 1,24,25,2014,0,1,2011-2012,True,0.0447
Razak Boukari,TOG,"FW,MF",Rennes,Ligue 1,24,20,769,3,2,2011-2012,True,0.5852
Khalid Boulahrouz,NED,DF,Stuttgart,Bundesliga,29,21,1837,2,4,2011-2012,True,0.294
Petrus Boumal,CMR,MF,Sochaux,Ligue 1,18,1,16,0,0,2011-2012,False,0.0
Grégory Bourillon,FRA,"DF,MF",Lorient,Ligue 1,27,20,1788,1,0,2011-2012,False,0.0503
Cesare Bovo,ITA,DF,Genoa,Serie A,28,8,550,0,0,2011-2012,False,0.0
Dedryck Boyata,BEL,DF,Bolton Wanderers,Premier League,20,14,1122,1,0,2011-2012,False,0.0802
Emmerson Boyce,BRB,DF,Wigan Athletic,Premier League,31,26,2267,3,1,2011-2012,True,0.1588
John Boye,GHA,DF,Rennes,Ligue 1,24,19,1307,0,0,2011-2012,False,0.0
Edson Braafheid,NED,DF,Hoffenheim,Bundesliga,28,21,1455,1,4,2011-2012,True,0.3093
Daniel Braaten,NOR,"FW,MF",Toulouse,Ligue 1,29,31,1409,1,0,2011-2012,False,0.0639
Michael Bradley,USA,MF,Chievo,Serie A,24,35,3034,1,1,2011-2012,True,0.0593
Yacine Brahimi,ALG,"FW,MF",Rennes,Ligue 1,21,17,694,2,1,2011-2012,True,0.389
Titus Bramble,ENG,DF,Sunderland,Premier League,30,8,650,1,0,2011-2012,False,0.1385
Brandão,BRA,FW,Marseille,Ligue 1,31,17,877,1,1,2011-2012,True,0.2052
Gonçalo Brandão,POR,DF,Parma,Serie A,24,2,135,0,0,2011-2012,False,0.0
Claudio Bravo,CHI,GK,Real Sociedad,La Liga,28,37,3330,0,0,2011-2012,False,0.0
Raúl Bravo,ESP,DF,Rayo Vallecano,La Liga,30,6,394,0,1,2011-2012,True,0.2284
Jérémie Bréchet,FRA,"DF,MF",Sochaux,Ligue 1,31,5,445,0,0,2011-2012,False,0.0
Mišo Brečko,SVN,"DF,MF",Köln,Bundesliga,27,27,2167,0,3,2011-2012,True,0.1246
Jimmy Briand,FRA,"FW,MF",Lyon,Ligue 1,25,37,2508,9,5,2011-2012,True,0.5024
